region,UF
Acre,AC
Alagoas,AL
Amapíç,AP
Amazonas,AM
Bahia,BA
Cearíç,CE
Distrito Federal,DF
Espí_rito Santo,ES
Goiíçs,GO
Maranhí£o,MA
Mato Grosso,MT
Mato Grosso do Sul,MS
Minas Gerais,MG
Paríç,PA
Paraí_ba,PB
Paraníç,PR
Pernambuco,PE
Piauí_,PI
Rio de Janeiro,RJ
Rio Grande do Norte,RN
Rio Grande do Sul,RS
RondíÇnia,RO
Roraima,RR
Santa Catarina,SC
Sí£o Paulo,SP
Sergipe,SE
Tocantins,TO
