Code,State,Municipality,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Average '90-'94,Average '95-'04,Average '06-'10,Change '90ies-'10s,Count
1400506,RR,São João da Baliza ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1400605,RR,São Luiz ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
1400704,RR,Uiramutã ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1500131,PA,Abel Figueiredo ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,12,12,12,0,0,15.8,15.8,43
1500206,PA,Acará ,25,25,25,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,-27,44
1500305,PA,Afuá ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
1500701,PA,Anajás ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
1500800,PA,Ananindeua ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
1500909,PA,Augusto Corrêa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
1500958,PA,Aurora do Pará ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
1501105,PA,Bagre ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1501402,PA,Belém ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
