"region","year","avgtmp","tmax","tmin","avgprecip","totalprecip","pmax","pmin","total","drought","drought_percent"
"Acre","1991",26.1244051797049,31.3892860753196,20.90714322953,179.765479411398,30200.6005411148,507.200012207031,8.80000019073486,168,16,0.0952380952380952
"Acre","1992",26.3464289279211,31.602381286167,21.1386909144265,163.866074703989,27529.5005502701,356.600006103516,15.8000001907349,168,12,0.0714285714285714
"Acre","1993",26.0970241228739,31.3678575697399,20.8755956377302,180.486313297635,30321.7006340027,449.300018310547,12.9000005722046,168,20,0.119047619047619
"Acre","1994",26.417857556116,31.6994052728017,21.1833337148031,202.276193493888,33982.4005069733,774.5,15.6000003814697,168,16,0.0952380952380952
"Acre","1995",26.5023813588279,31.7738100347065,21.2750003451393,140.610121363685,23622.5003890991,324.800018310547,16.8999996185303,168,13,0.0773809523809524
"Acre","1996",26.1053575447627,31.376786163875,20.8779766219003,180.879764806657,30387.8004875183,467.300018310547,5.80000019073486,168,15,0.0892857142857143
"Acre","1997",26.5232147375743,31.7946434134529,21.2958338147118,171.99940791868,28895.9005303383,490.800018310547,7.70000028610229,168,20,0.119047619047619
"Acre","1998",26.8529765038263,32.1244054294768,21.6255956604367,188.602384544554,31685.2006034851,701.100036621094,9.19999980926514,168,32,0.19047619047619
"Acre","1999",25.9363099279858,31.206548055013,20.70952410925,227.969051732194,38298.8006910086,671,1.80000007152557,168,12,0.0714285714285714
"Acre","2000",26.2119051388332,31.4851194903964,20.9839289074852,216.353574877694,36347.4005794525,783.600036621094,17.5,168,18,0.107142857142857
"Acre","2001",26.1119051093147,31.3851195744106,20.8845241637457,214.475002856482,36031.8004798889,681.200012207031,5.70000028610229,168,26,0.154761904761905
"Acre","2002",26.330952723821,31.6071434134529,21.101190839495,212.493456167834,35698.9006361961,726.700012207031,6.09999990463257,168,28,0.166666666666667
"Acre","2003",26.1517861002967,31.4255957035791,20.92261945066,203.000598801743,34104.1005986929,616.5,1.80000007152557,168,15,0.0892857142857143
"Acre","2004",26.4339288756961,31.7065481117793,21.2053575175149,185.454169273376,31156.3004379272,409.100006103516,22,168,10,0.0595238095238095
"Acre","2005",26.3898813951583,31.6625004950024,21.1642861366272,157.546431233486,26467.8004472256,341.300018310547,3.79999995231628,168,25,0.148809523809524
"Acre","2006",26.2880957580748,31.5630957285563,21.0583337148031,189.701789799191,31869.900686264,626.200012207031,27,168,8,0.0476190476190476
"Acre","2007",26.1250004200708,31.4029766605014,20.8928576310476,175.271431030262,29445.600413084,371.700012207031,3.60000014305115,168,19,0.113095238095238
"Acre","2008",26.1309528123765,31.4077386629014,20.90178611165,190.796431385335,32053.8004727364,517.5,4.90000009536743,168,14,0.0833333333333333
"Acre","2009",26.4309527192797,31.6934528577895,21.2148813179561,190.320241621562,31973.8005924225,453.100006103516,22.3999996185303,168,7,0.0416666666666667
"Acre","2010",26.6345241523924,31.9065482162294,21.4077385266622,185.040479274023,31086.8005180359,646.299987792969,7.40000009536743,168,20,0.119047619047619
"Acre","2011",26.3291670708429,31.6029765832992,21.1011908962613,183.786907775061,30876.2005062103,451.399993896484,3.60000014305115,168,22,0.130952380952381
