region,year,avgtmp,tmax,tmin,avgprecip,totalprecip,pmax,pmin,total,drought,drought_percent,UF,,,,
Alagoas,2006,24.71250025,29.52500057,19.95416729,65.6833353,1576.400047,210.6000061,16.80000114,24,12,0.5,AL,,,,
Alagoas,2007,24.62500016,29.43750048,19.86666711,49.73750085,1193.70002,121.5,2.900000095,24,13,0.541666667,AL,,,,
Alagoas,2008,24.58333373,29.39583397,19.82500029,72.0916679,1730.20003,251,3.700000048,24,10,0.416666667,AL,,,,
Alagoas,2009,24.70833389,29.52083389,19.95000021,66.5666674,1597.600018,188.5,10.5,24,14,0.583333333,AL,,,,
Alagoas,2010,25.04166714,29.85416714,20.28333378,52.70833401,1265.000016,218.1999969,5.800000191,24,13,0.541666667,AL,,,,
Alagoas,2011,24.38333376,29.19583392,19.62500032,66.86250027,1604.700006,241.3000031,9.300000191,24,10,0.416666667,AL,,,,
Alagoas,2012,24.79583383,29.60833367,20.03750038,30.40833344,729.8000026,79.09999847,4.700000286,24,17,0.708333333,AL,,,,
Alagoas,2013,24.95000052,29.76250045,20.19166716,49.08333441,1178.000026,134.5,5.800000191,24,11,0.458333333,AL,,,,
Alagoas,2014,24.67083383,29.48333383,19.91250062,62.23333498,1493.600039,156.4000092,9.699999809,24,10,0.416666667,AL,,,,
Alagoas,2015,25.04166722,29.85416706,20.28333362,45.32083458,1087.70003,173.3000031,3.5,24,14,0.583333333,AL,,,,
Alagoas,2016,25.17916711,29.99166727,20.42083375,36.96666746,887.2000191,113.2000046,2.100000143,24,16,0.666666667,AL,,,,
Alagoas,2017,24.77500025,29.58750065,20.01666713,50.85000072,1220.400017,193.8000031,7.400000095,24,14,0.583333333,AL,,,,
Amapa,1991,25.8044875,29.94294916,21.7179491,214.9250039,33528.30061,670.5,19.30000114,156,28,0.179487179,AP,,,,
Amapa,1992,25.69038497,29.83076966,21.60192344,196.5641066,30664.00063,581.1000366,2.799999952,156,26,0.166666667,AP,,,,
Amapa,1993,25.60128236,29.73974399,21.51474389,219.5314138,34246.90056,516.2999878,11.80000019,156,9,0.057692308,AP,,,,
Amapa,1994,25.71217987,29.85128251,21.62500039,229.7237212,35836.90051,698.7000122,16.39999962,156,12,0.076923077,AP,,,,
Amapa,1995,26.1794876,30.31859025,22.09230806,191.5519262,29882.10049,479.6000061,16.70000076,156,19,0.121794872,AP,,,,
Amapa,1996,26.02179527,30.16025672,21.93461578,226.4256448,35322.40058,640.2000122,15,156,15,0.096153846,AP,,,,
Amapa,1997,26.15769263,30.29807728,22.06987216,209.0525661,32612.20031,612.2999878,2.299999952,156,23,0.147435897,AP,,,,
Amapa,1998,26.55128242,30.69551322,22.46025677,194.7923109,30387.6005,645.9000244,5.800000191,156,19,0.121794872,AP,,,,
Amapa,1999,25.99423115,30.13653884,21.90384656,212.4250033,33138.30051,505.3999939,9.300000191,156,22,0.141025641,AP,,,,
Amapa,2000,25.86089777,30.00320556,21.77051317,235.8884659,36798.60068,707.4000244,19.30000114,156,6,0.038461538,AP,,,,
Amapa,2001,26.14615427,30.28782089,22.05641059,197.9551315,30881.00052,615.2000122,11.80000019,156,13,0.083333333,AP,,,,
Amapa,2002,26.15576953,30.2955132,22.06730806,210.6859015,32867.00063,543.2999878,6.800000191,156,25,0.16025641,AP,,,,
Amapa,2003,26.31666707,30.45769283,22.22884656,176.1564132,27480.40046,692.2999878,20.10000038,156,12,0.076923077,AP,,,,
Amapa,2004,26.28461574,30.42628254,22.19615429,212.7525677,33189.40057,627.2000122,11.30000019,156,25,0.16025641,AP,,,,
Amapa,2005,26.65256453,30.79359029,22.56217987,230.2371836,35917.00064,748.7000122,10.60000038,156,27,0.173076923,AP,,,,
Amapa,2006,26.34038502,30.48205175,22.25064131,217.4326953,33919.50047,494.3000183,19.70000076,156,16,0.102564103,AP,,,,
Amapa,2007,26.20512854,30.34679525,22.11474406,217.1884653,33881.40059,636.7999878,18.70000076,156,9,0.057692308,AP,,,,
Amapa,2008,26.09807737,30.24038499,22.00897469,216.1621826,33721.30048,576.4000244,17.89999962,156,15,0.096153846,AP,,,,
Amapa,2009,26.2980773,30.4378209,22.21025681,206.7673119,32255.70066,572.1000366,5.400000095,156,18,0.115384615,AP,,,,
Amapa,2010,26.6435901,30.78397489,22.55448761,221.369875,34533.7005,614.6000366,23,156,8,0.051282051,AP,,,,
Amapa,2011,26.29294904,30.43205167,22.20705164,217.6403874,33951.90043,576,10.19999981,156,9,0.057692308,AP,,,,
Amapa,2012,26.21666707,30.35384653,22.13076958,204.2121824,31857.10045,520,9.699999809,156,29,0.185897436,AP,,,,
Amapa,2013,26.31794916,30.45576964,22.23269265,227.9378238,35558.30051,686.2000122,18.80000114,156,7,0.044871795,AP,,,,
Amapa,2014,26.2974363,30.43461591,22.21282096,195.9647469,30570.50052,451.8000183,16,156,21,0.134615385,AP,,,,
Amapa,2015,26.5237183,30.6628211,22.43717987,220.3743616,34378.4004,674.7999878,3.100000143,156,29,0.185897436,AP,,,,
Amapa,2016,26.5737183,30.71089797,22.48910295,202.6307721,31610.40045,606.1000366,2.400000095,156,23,0.147435897,AP,,,,
Amapa,2017,26.36602606,30.50256461,22.28076959,210.4538497,32830.80055,607.1000366,4.300000191,156,9,0.057692308,AP,,,,
Amazonas,1991,26.38630573,31.19184193,21.63012856,185.9610752,319109.205,516.2000122,8,1716,81,0.047202797,AM,,,,
Amazonas,1992,26.3843244,31.25186527,21.5662591,181.150877,310854.9049,474.7000122,8,1716,63,0.036713287,AM,,,,
Amazonas,1993,26.13962742,30.96480228,21.36456913,206.0184761,353527.705,637.7000122,8,1716,65,0.037878788,AM,,,,
Amazonas,1994,26.25839198,31.10413799,21.46264607,205.1455157,352029.705,774.5,8,1716,59,0.034382284,AM,,,,
Amazonas,1995,26.62779756,31.47744803,21.82779755,197.6562968,339178.2053,498.3000183,8,1716,67,0.039044289,AM,,,,
Amazonas,1996,26.38176025,31.16229652,21.65250621,205.013407,351803.0064,467.3000183,1.300000072,1716,78,0.045454545,AM,,,,
Amazonas,1997,26.62639901,31.44644571,21.85565307,200.7839773,344545.305,564.7000122,1.300000072,1716,108,0.062937063,AM,,,,
Amazonas,1998,26.9011076,31.83904488,22.01386984,197.3326954,338622.9052,701.1000366,7.300000191,1716,104,0.060606061,AM,,,,
Amazonas,1999,26.15338033,31.08752963,21.26993046,211.603092,363110.9058,671,5.400000095,1716,71,0.041375291,AM,,,,
Amazonas,2000,26.40524515,31.35238977,21.50984886,213.2546656,365945.0062,783.6000366,8,1716,53,0.030885781,AM,,,,
Amazonas,2001,26.55541998,31.478497,21.68106098,203.0998866,348519.4053,681.2000122,5.700000286,1716,71,0.041375291,AM,,,,
Amazonas,2002,26.70961574,31.5656765,21.90407962,215.4882901,369777.9058,726.7000122,4.800000191,1716,88,0.051282051,AM,,,,
Amazonas,2003,26.70419617,31.56620098,21.89108428,205.4525092,352556.5058,744.9000244,1.200000048,1716,57,0.033216783,AM,,,,
Amazonas,2004,26.76952253,31.64271615,21.94388151,204.3852014,350725.0055,708.7999878,8,1716,58,0.033799534,AM,,,,
Amazonas,2005,26.83956915,31.73671381,21.99201669,208.5868914,357935.1057,626.2999878,1.700000048,1716,96,0.055944056,AM,,,,
Amazonas,2006,26.67296078,31.55588629,21.83834538,218.5452249,375023.6059,676,2.799999952,1716,84,0.048951049,AM,,,,
Amazonas,2007,26.61777428,31.51474407,21.7698139,211.6418448,363177.4058,663.9000244,5.200000286,1716,89,0.051864802,AM,,,,
Amazonas,2008,26.48339198,31.36107277,21.65571131,217.1462156,372622.9059,569.4000244,5.800000191,1716,48,0.027972028,AM,,,,
Amazonas,2009,26.80285587,31.66625926,21.98793745,210.3189429,360907.306,601.2000122,8,1716,75,0.043706294,AM,,,,
Amazonas,2010,26.97797239,31.86008212,22.14691179,194.8614833,334382.3053,646.2999878,7.400000095,1716,65,0.037878788,AM,,,,
Amazonas,2011,26.74813556,31.551166,21.9953384,197.1576951,338322.6048,607.7999878,3.600000143,1716,75,0.043706294,AM,,,,
Amazonas,2012,26.77564141,31.56299585,22.03986051,194.8940007,334438.1053,609.2000122,8,1716,64,0.037296037,AM,,,,
Amazonas,2013,26.84324045,31.61299583,22.12453418,200.8177772,344603.3056,504.2000122,8,1716,50,0.029137529,AM,,,,
Amazonas,2014,26.98863677,31.76089796,22.26847357,198.3973808,340449.9055,475.2000122,7.900000095,1716,67,0.039044289,AM,,,,
Amazonas,2015,27.34941762,32.156236,22.59096777,179.1278,307383.3048,514,2.299999952,1716,126,0.073426573,AM,,,,
Amazonas,2016,27.09749458,31.83799591,22.40710994,182.2915528,312812.3046,508.8999939,7.5,1716,58,0.033799534,AM,,,,
Amazonas,2017,26.90571135,31.66585134,22.19469734,192.1245364,329685.7045,502.8999939,1.300000072,1716,84,0.048951049,AM,,,,
Bahia,1991,24.23582129,29.67512479,18.84676653,80.20410574,0,372.1000061,0,804,366,0.455223881,BA,,,,
Bahia,1992,24.22475161,29.69577153,18.80621928,104.0284842,0,763.4000244,0,804,349,0.434079602,BA,,,,
Bahia,1993,24.58868194,30.05348301,19.17537353,59.07251339,0,377.1000061,0,804,435,0.541044776,BA,,,,
Bahia,1994,24.45422924,29.92176657,19.0390551,77.78967789,0,376,0,804,348,0.432835821,BA,,,,
Bahia,1995,24.63781131,30.10435369,19.22263722,83.42786199,0,337.3999939,0,804,318,0.395522388,BA,,,,
Bahia,1996,24.40547307,29.87189094,18.99104518,73.35970259,0,524.7999878,0,804,321,0.399253731,BA,,,,
Bahia,1997,24.5215178,29.98830893,19.1065924,85.30659363,0,478.8999939,0,804,323,0.401741294,BA,,,,
Bahia,1998,25.23830882,30.69937861,19.82748794,70.82923003,0,363.7000122,0,804,394,0.490049751,BA,,,,
Bahia,1999,24.62524915,30.09204024,19.21032375,90.45074764,0,365.8999939,0,804,324,0.402985075,BA,,,,
Bahia,2000,24.47313467,29.93992583,19.05820932,91.86007634,0,362.8999939,0,804,316,0.393034826,BA,,,,
Bahia,2001,24.70286108,30.13930394,19.31815958,80.32947886,0,335.3000183,0,804,301,0.374378109,BA,,,,
Bahia,2002,25.02027398,30.46604521,19.62462724,80.57350871,0,459.3000183,0,804,377,0.468905473,BA,,,,
Bahia,2003,24.985075,30.44950292,19.57189094,70.49502618,0,439.1000061,0,804,374,0.465174129,BA,,,,
Bahia,2004,24.65671677,30.01728903,19.34776153,94.38607113,0,555.4000244,0,804,352,0.437810945,BA,,,,
Bahia,2005,25.02375661,30.49054772,19.60883123,98.22848413,0,453.3999939,0,804,336,0.417910448,BA,,,,
Bahia,2006,24.75621927,30.22301042,19.34129391,91.9858224,0,393.2000122,0,804,311,0.38681592,BA,,,,
Bahia,2007,24.97238845,30.43917957,19.55746305,64.3996279,0,347.6000061,0,804,429,0.53358209,BA,,,,
Bahia,2008,24.69552276,30.16231387,19.28059739,88.79166809,0,427.3000183,0,804,364,0.452736318,BA,,,,
Bahia,2009,24.87885611,30.34564724,19.46393072,88.28818569,0,498.5,0,804,303,0.376865672,BA,,,,
Bahia,2010,25.08743818,30.55422932,19.6725128,79.67972762,0,375.6000061,0,804,346,0.430348259,BA,,,,
Bahia,2011,24.53445311,30.00124418,19.11952773,87.45932995,0,471.8000183,0,804,329,0.40920398,BA,,,,
Bahia,2012,24.84291084,30.30970194,19.42798545,59.67089639,0,384.3000183,0,804,450,0.559701493,BA,,,,
Bahia,2013,24.91480137,30.38159253,19.49987601,82.18719064,0,479.8000183,0,804,375,0.46641791,BA,,,,
Bahia,2014,24.79427898,30.26107004,19.37935365,66.56281214,0,328.7000122,0,804,368,0.457711443,BA,,,,
Bahia,2015,25.2490054,30.71579651,19.83407998,56.37699108,0,430.8999939,0,804,431,0.536069652,BA,,,,
Bahia,2016,25.42263723,30.88942835,20.00771183,66.02935435,0,653,0,804,460,0.572139303,BA,,,,
Bahia,2017,24.99813469,30.46492583,19.58320928,67.09626975,0,322.1000061,0,804,411,0.51119403,BA,,,,
Ceara,1991,26.34772754,31.65909141,21.08484887,49.58939484,0,273.8000183,0,132,79,0.598484848,CE,,,,
Ceara,1992,26.38712162,31.6984855,21.12424288,53.1537887,0,274.8999939,0,132,88,0.666666667,CE,,,,
Ceara,1993,26.8893943,32.20075821,21.62651552,29.91363699,0,153,0.100000001,132,94,0.712121212,CE,,,,
Ceara,1994,26.30303068,31.61439452,21.0401519,59.4378797,0,190.6999969,0.300000012,132,73,0.553030303,CE,,,,
Ceara,1995,26.47197011,31.78333394,21.2090913,63.12197078,0,260,0,132,69,0.522727273,CE,,,,
Ceara,1996,26.45303076,31.76439451,21.19015189,66.82045533,0,227.9000092,0.200000003,132,74,0.560606061,CE,,,,
